股票,進場日,出場日,進場價,出場價,報酬率,持有天數,結果
2382,2019-05-31,2019-06-10,58.9,58.9,0.0,10,失敗
3010,2019-05-31,2019-06-03,53.4,53.4,0.0,3,失敗
6128,2019-05-31,2019-06-03,35.0,34.95,-0.14,3,失敗
2809,2019-06-03,2019-06-04,33.25,33.75,1.5,1,勝利
6409,2019-06-03,2019-06-04,600.0,577.0,-3.83,1,失敗
00713,2019-06-04,2019-06-05,30.23,30.28,0.17,1,勝利
2314,2019-06-05,2019-06-06,23.7,24.25,2.32,1,勝利
2612,2019-06-05,2019-06-06,31.7,31.7,0.0,1,失敗
3023,2019-06-05,2019-06-06,110.5,108.5,-1.81,1,失敗
00668,2019-06-06,2019-06-14,28.36,29.18,2.89,8,勝利
00737,2019-06-06,2019-06-14,21.66,22.42,3.51,8,勝利
2012,2019-06-06,2019-06-10,23.1,23.15,0.22,4,勝利
1476,2019-06-10,2019-06-11,395.0,399.5,1.14,1,勝利
2471,2019-06-10,2019-06-11,17.4,17.3,-0.57,1,失敗
8411,2019-06-10,2019-06-11,15.1,15.05,-0.33,1,失敗
006207,2019-06-11,2019-06-17,22.81,22.68,-0.57,6,失敗
2012,2019-06-11,2019-06-12,23.05,23.1,0.22,1,勝利
6409,2019-06-11,2019-06-12,587.0,585.0,-0.34,1,失敗
9935,2019-06-11,2019-06-12,24.7,24.5,-0.81,1,失敗
8112,2019-06-12,2019-06-19,30.9,31.3,1.29,7,勝利
2461,2019-06-13,2019-06-20,14.1,17.2,21.99,7,勝利
5203,2019-06-13,2019-06-18,73.0,72.7,-0.41,5,失敗
6205,2019-06-13,2019-06-14,26.7,26.8,0.37,1,勝利
1537,2019-06-14,2019-06-17,163.0,163.5,0.31,3,勝利
2851,2019-06-14,2019-06-19,18.45,17.95,-2.71,5,失敗
4104,2019-06-14,2019-06-17,50.2,50.4,0.4,3,勝利
2886,2019-06-17,2019-06-18,30.7,30.8,0.33,1,勝利
1319,2019-06-18,2019-06-25,43.0,44.0,2.33,7,勝利
2423,2019-06-18,2019-06-19,27.55,27.8,0.91,1,勝利
2850,2019-06-18,2019-06-19,39.65,39.5,-0.38,1,失敗
1234,2019-06-19,2019-06-20,33.3,33.0,-0.9,1,失敗
1521,2019-06-19,2019-06-26,62.8,63.5,1.11,7,勝利
2345,2019-06-19,2019-06-21,124.5,123.0,-1.2,2,失敗
2412,2019-06-19,2019-06-20,113.5,112.5,-0.88,1,失敗
2449,2019-06-19,2019-06-21,26.25,26.0,-0.95,2,失敗
6112,2019-06-19,2019-06-26,36.25,36.3,0.14,7,勝利
6205,2019-06-19,2019-06-20,27.1,26.8,-1.11,1,失敗
6278,2019-06-19,2019-06-20,53.8,56.8,5.58,1,勝利
9908,2019-06-19,2019-06-20,29.45,29.45,0.0,1,失敗
8070,2019-06-20,2019-06-27,157.5,159.0,0.95,7,勝利
6431,2019-06-21,2019-06-24,26.15,25.7,-1.72,3,失敗
8411,2019-06-24,2019-06-25,15.1,15.1,0.0,1,失敗
9940,2019-06-24,2019-06-25,32.5,32.15,-1.08,1,失敗
2607,2019-06-25,2019-06-26,13.9,14.2,2.16,1,勝利
4155,2019-06-25,2019-06-26,28.6,28.9,1.05,1,勝利
00652,2019-06-26,2019-06-27,24.85,25.19,1.37,1,勝利
2887E,2019-06-27,2019-06-28,55.2,55.3,0.18,1,勝利
6541,2019-06-27,2019-06-28,73.5,73.2,-0.41,1,失敗
8033,2019-06-27,2019-06-28,10.55,10.45,-0.95,1,失敗
9925,2019-06-27,2019-06-28,38.1,38.1,0.0,1,失敗
1416,2019-07-01,2019-07-02,15.35,15.55,1.3,1,勝利
2838A,2019-07-01,2019-07-08,54.6,54.9,0.55,7,勝利
2891B,2019-07-01,2019-07-02,64.5,64.5,0.0,1,失敗
3029,2019-07-01,2019-07-08,28.7,28.65,-0.17,7,失敗
6184,2019-07-01,2019-07-02,37.55,35.4,-5.73,1,失敗
1522,2019-07-02,2019-07-09,27.85,28.3,1.62,7,勝利
1608,2019-07-02,2019-07-03,10.05,9.94,-1.09,1,失敗
00673R,2019-07-03,2019-07-04,15.41,15.3,-0.71,1,失敗
2836,2019-07-03,2019-07-04,9.63,9.65,0.21,1,勝利
6579,2019-07-03,2019-07-04,83.3,83.0,-0.36,1,失敗
1446,2019-07-04,2019-07-11,30.4,31.2,2.63,7,勝利
1587,2019-07-04,2019-07-08,19.6,19.05,-2.81,4,失敗
9917,2019-07-04,2019-07-05,88.0,88.2,0.23,1,勝利
1717,2019-07-05,2019-07-08,26.9,26.85,-0.19,3,失敗
2102,2019-07-05,2019-07-12,12.35,12.35,0.0,7,失敗
2115,2019-07-05,2019-07-12,39.6,41.0,3.54,7,勝利
2509,2019-07-05,2019-07-08,29.4,29.55,0.51,3,勝利
5388,2019-07-05,2019-07-08,67.3,68.0,1.04,3,勝利
6224,2019-07-05,2019-07-12,57.7,69.1,19.76,7,勝利
1437,2019-07-09,2019-07-10,21.0,21.2,0.95,1,勝利
2108,2019-07-10,2019-07-11,36.15,36.15,0.0,1,失敗
2809,2019-07-10,2019-07-11,33.8,33.75,-0.15,1,失敗
4958,2019-07-10,2019-07-17,100.5,114.5,13.93,7,勝利
2439,2019-07-11,2019-07-12,166.0,166.5,0.3,1,勝利
2379,2019-07-12,2019-07-15,225.5,226.0,0.22,3,勝利
4763,2019-07-12,2019-07-15,151.5,148.5,-1.98,3,失敗
6206,2019-07-12,2019-07-17,80.4,75.0,-6.72,5,失敗
8210,2019-07-12,2019-07-15,65.7,65.0,-1.07,3,失敗
1504,2019-07-15,2019-07-22,23.0,23.35,1.52,7,勝利
1524,2019-07-15,2019-07-16,10.45,10.0,-4.31,1,失敗
1817,2019-07-15,2019-07-16,39.5,39.7,0.51,1,勝利
2539,2019-07-15,2019-07-17,30.1,30.4,1.0,2,勝利
5519,2019-07-15,2019-07-17,16.8,16.8,0.0,2,失敗
00709,2019-07-16,2019-07-17,21.0,20.91,-0.43,1,失敗
1339,2019-07-16,2019-07-17,35.9,35.95,0.14,1,勝利
1477,2019-07-16,2019-07-17,211.0,208.0,-1.42,1,失敗
2028,2019-07-17,2019-07-18,9.3,9.18,-1.29,1,失敗
2913,2019-07-17,2019-07-24,16.5,16.4,-0.61,7,失敗
00688L,2019-07-18,2019-07-22,23.11,22.94,-0.74,4,失敗
1321,2019-07-19,2019-07-22,28.0,27.85,-0.54,3,失敗
2613,2019-07-22,2019-07-23,13.25,13.35,0.75,1,勝利
00646,2019-07-23,2019-07-30,28.12,28.53,1.46,7,勝利
00737,2019-07-23,2019-07-30,22.56,22.7,0.62,7,勝利
1540,2019-07-23,2019-07-24,22.05,20.15,-8.62,1,失敗
2412,2019-07-23,2019-07-24,112.0,112.0,0.0,1,失敗
2454,2019-07-23,2019-07-24,314.5,308.0,-2.07,1,失敗
2509,2019-07-23,2019-07-24,29.5,29.5,0.0,1,失敗
3338,2019-07-23,2019-07-30,61.1,58.8,-3.76,7,失敗
006207,2019-07-24,2019-07-31,23.72,23.86,0.59,7,勝利
1442,2019-07-24,2019-07-25,16.4,16.4,0.0,1,失敗
